[2026-05-28 09:09:58.861] [INIT].... → Crawl4AI 0.8.6 
[2026-05-28 09:10:01.015] [FETCH]... ↓ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 2.11s 
[2026-06-01 11:45:38.933] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33276405                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:38.935] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33276405                                                  | ✓ | ⏱: 3.15s 
[2026-06-01 11:45:39.160] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33278249                                                  | ✓ | ⏱: 2.98s 
[2026-06-01 11:45:39.210] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33278249                                                  | ✓ | ⏱: 0.05s 
[2026-06-01 11:45:39.219] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33278249                                                  | ✓ | ⏱: 3.04s 
[2026-06-01 11:45:41.307] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33278056                                                  | ✓ | ⏱: 2.07s 
[2026-06-01 11:45:41.314] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33278056                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:41.318] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33278056                                                  | ✓ | ⏱: 2.08s 
[2026-06-01 11:45:41.407] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33276405                                                  | ✓ | ⏱: 2.46s 
[2026-06-01 11:45:41.471] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33276405                                                  | ✓ | ⏱: 0.06s 
[2026-06-01 11:45:41.482] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33276405                                                  | ✓ | ⏱: 2.54s 
[2026-06-01 11:45:43.757] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277065                                                  | ✓ | ⏱: 2.25s 
[2026-06-01 11:45:43.765] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277065                                                  | ✓ | ⏱: 0.01s 
[2026-06-01 11:45:43.767] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277065                                                  | ✓ | ⏱: 2.26s 
[2026-06-01 11:45:43.852] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33278056                                                  | ✓ | ⏱: 2.51s 
[2026-06-01 11:45:43.910] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33278056                                                  | ✓ | ⏱: 0.06s 
[2026-06-01 11:45:43.920] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33278056                                                  | ✓ | ⏱: 2.58s 
[2026-06-01 11:45:45.911] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277065                                                  | ✓ | ⏱: 2.13s 
[2026-06-01 11:45:45.951] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277065                                                  | ✓ | ⏱: 0.04s 
[2026-06-01 11:45:45.961] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277065                                                  | ✓ | ⏱: 2.18s 
[2026-06-01 11:45:47.039] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33278225                                                  | ✓ | ⏱: 2.63s 
[2026-06-01 11:45:47.044] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33278225                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:47.046] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33278225                                                  | ✓ | ⏱: 2.64s 
[2026-06-01 11:45:48.851] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277060                                                  | ✓ | ⏱: 2.26s 
[2026-06-01 11:45:48.856] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277060                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:48.858] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277060                                                  | ✓ | ⏱: 2.27s 
[2026-06-01 11:45:49.171] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33278225                                                  | ✓ | ⏱: 2.11s 
[2026-06-01 11:45:49.205] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33278225                                                  | ✓ | ⏱: 0.03s 
[2026-06-01 11:45:49.216] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33278225                                                  | ✓ | ⏱: 2.16s 
[2026-06-01 11:45:51.087] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277060                                                  | ✓ | ⏱: 2.22s 
[2026-06-01 11:45:51.119] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277060                                                  | ✓ | ⏱: 0.03s 
[2026-06-01 11:45:51.128] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277060                                                  | ✓ | ⏱: 2.26s 
[2026-06-01 11:45:51.786] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277684                                                  | ✓ | ⏱: 2.54s 
[2026-06-01 11:45:51.793] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277684                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:51.795] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277684                                                  | ✓ | ⏱: 2.55s 
[2026-06-01 11:45:53.900] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277931                                                  | ✓ | ⏱: 2.46s 
[2026-06-01 11:45:53.905] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277931                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:53.907] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277931                                                  | ✓ | ⏱: 2.47s 
[2026-06-01 11:45:55.950] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277931                                                  | ✓ | ⏱: 2.03s 
[2026-06-01 11:45:55.981] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277931                                                  | ✓ | ⏱: 0.03s 
[2026-06-01 11:45:55.990] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277931                                                  | ✓ | ⏱: 2.07s 
[2026-06-01 11:45:56.756] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277684                                                  | ✓ | ⏱: 4.95s 
[2026-06-01 11:45:56.792] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277684                                                  | ✓ | ⏱: 0.03s 
[2026-06-01 11:45:56.802] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277684                                                  | ✓ | ⏱: 4.99s 
[2026-06-01 11:45:58.965] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33275592                                                  | ✓ | ⏱: 2.95s 
[2026-06-01 11:45:58.975] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33275592                                                  | ✓ | ⏱: 0.01s 
[2026-06-01 11:45:58.978] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33275592                                                  | ✓ | ⏱: 2.97s 
[2026-06-01 11:46:01.270] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33275592                                                  | ✓ | ⏱: 2.28s 
[2026-06-01 11:46:01.309] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33275592                                                  | ✓ | ⏱: 0.04s 
[2026-06-01 11:46:01.318] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33275592                                                  | ✓ | ⏱: 2.32s 
[2026-06-01 11:46:01.421] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33276037                                                  | ✓ | ⏱: 2.20s 
[2026-06-01 11:46:01.426] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33276037                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:46:01.429] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33276037                                                  | ✓ | ⏱: 2.20s 
[2026-06-01 11:46:03.598] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33276037                                                  | ✓ | ⏱: 2.16s 
[2026-06-01 11:46:03.635] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33276037                                                  | ✓ | ⏱: 0.03s 
[2026-06-01 11:46:03.643] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33276037                                                  | ✓ | ⏱: 2.20s 
[2026-06-01 11:46:04.762] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33278739                                                  | ✓ | ⏱: 2.23s 
[2026-06-01 11:46:04.768] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33278739                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:46:04.770] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33278739                                                  | ✓ | ⏱: 2.24s 
[2026-06-01 11:46:07.143] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33278739                                                  | ✓ | ⏱: 2.36s 
[2026-06-01 11:46:07.193] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33278739                                                  | ✓ | ⏱: 0.04s 
[2026-06-01 11:46:07.204] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33278739                                                  | ✓ | ⏱: 2.42s 
[2026-06-01 11:46:09.973] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277934                                                  | ✓ | ⏱: 4.98s 
[2026-06-01 11:46:09.981] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277934                                                  | ✓ | ⏱: 0.01s 
[2026-06-01 11:46:09.985] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277934                                                  | ✓ | ⏱: 5.00s 
[2026-06-01 11:46:12.063] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277934                                                  | ✓ | ⏱: 2.06s 
[2026-06-01 11:46:12.094] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277934                                                  | ✓ | ⏱: 0.03s 
[2026-06-01 11:46:12.102] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277934                                                  | ✓ | ⏱: 2.10s 
[2026-06-01 11:46:14.546] [FETCH]... ↓ https://www.cls.cn/detail/2386314                                                                    | ✓ | ⏱: 2.43s 
[2026-06-01 11:46:14.555] [SCRAPE].. ◆ https://www.cls.cn/detail/2386314                                                                    | ✓ | ⏱: 0.01s 
[2026-06-01 11:46:14.559] [COMPLETE] ● https://www.cls.cn/detail/2386314                                                                    | ✓ | ⏱: 2.44s 
[2026-06-01 11:47:07.308] [ANTIBOT]. ℹ https://www.cls.cn/detail/2386332                  | Error: Proxy direct failed: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://www.cls.cn/detail/2386332", waiting until "load"
 
[2026-06-01 11:47:07.314] [ERROR]... × https://www.cls.cn/detail/2386332                  | Error: Unexpected error in _crawl_web at line 778 in _crawl_web (crawl4ai\crawl4ai\async_crawler_strategy.py):
Error: Failed on navigating ACS-GOTO:
Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to "https://www.cls.cn/detail/2386332", waiting until "load"


Code context:
 773                                   tag="GOTO",
 774                                   params={"url": url},
 775                               )
 776                               response = None
 777                           else:
 778 →                             raise RuntimeError(f"Failed on navigating ACS-GOTO:\n{str(e)}")
